07-06 12:15:38.673 >> setting // OverspeedLockState = 1
07-06 12:15:38.673 >> setting // Language = 0
07-06 12:15:38.674 >> setting // SafeWarnState = 0
07-06 12:15:38.674 >> setting // MaintainRemindState = 0
07-06 12:15:38.675 >> setting // MicroSwitchUnlockWindowState = 1
07-06 12:15:38.675 >> setting // AutoExternalRearMirrorFollowUpSwitch = 1
07-06 12:15:38.676 >> speed // Speed = 0.0
07-06 12:15:38.676 >> speed // AccelerateDeepness = 0
07-06 12:15:38.677 >> speed // BrakeDeepness = 0
07-06 12:15:38.678 >> statistic // TotalMileageValue = 13158
07-06 12:15:38.678 >> statistic // TotalFuelCon = 546.3
07-06 12:15:38.679 >> statistic // TotalElecCon = 505.6
07-06 12:15:38.680 >> statistic // DrivingTime = 2.0
07-06 12:15:38.680 >> statistic // LastFuelConPHM = 5.4
07-06 12:15:38.681 >> statistic // TotalFuelConPHM = 4.1
07-06 12:15:38.682 >> statistic // LastElecConPHM = -2.8
07-06 12:15:38.682 >> statistic // TotalElecConPHM = 3.0
07-06 12:15:38.683 >> statistic // ElecDrivingRange = 62
07-06 12:15:38.683 >> statistic // FuelDrivingRange = 474
07-06 12:15:38.684 >> statistic // FuelPercentage = 41
07-06 12:15:38.684 >> statistic // ElecPercentage = 60.0
07-06 12:15:38.685 >> statistic // KeyBatteryLevel = 0
07-06 12:15:38.685 >> statistic // EVMileageValue = 6258
07-06 12:15:38.686 >> statistic // HEVMileageValue = 6900
07-06 12:15:38.687 >> statistic // WaterTemperature = -10011
07-06 12:15:38.689 >> statistic // InstantElecCon = -1.0
07-06 12:15:38.691 >> statistic // InstantFuelCon = 0.0
07-06 12:15:38.692 >> tyre // TyreSystemState = 0
07-06 12:15:38.694 >> tyre // TyreTemperatureState = 0
07-06 12:15:38.695 >> tyre // TyreBatteryState = 0
07-06 12:15:38.696 >> tyre // TyreAirLeakState = -2147482645
07-06 12:15:38.696 >> tyre // TyreSignalState = -2147482645
07-06 12:15:38.697 >> tyre // TyrePressureState = -2147482645
07-06 12:15:38.697 >> tyre // TyrePressureValue = -2147482645
07-06 12:15:38.699 >> instrument // AlarmBuzzleState = 1
07-06 12:15:38.702 >> instrument // AlarmBuzzleState = 0
07-06 12:15:38.703 >> instrument // AlarmBuzzleState = 1
07-06 12:15:38.734 >> instrument // AlarmBuzzleState = 0
07-06 12:15:38.783 >> instrument // AlarmBuzzleState = 1
07-06 12:15:38.833 >> instrument // AlarmBuzzleState = 0
07-06 12:15:38.880 >> instrument // AlarmBuzzleState = 1
07-06 12:15:38.935 >> instrument // AlarmBuzzleState = 0
07-06 12:15:38.948 >> charging // ChargingPower = 0.0
07-06 12:15:38.985 >> instrument // AlarmBuzzleState = 1
07-06 12:15:39.032 >> instrument // AlarmBuzzleState = 0
07-06 12:15:39.047 >> charging // ChargingPower = 0.0
07-06 12:15:39.082 >> instrument // AlarmBuzzleState = 1
07-06 12:15:39.135 >> instrument // AlarmBuzzleState = 0
07-06 12:15:39.202 >> instrument // AlarmBuzzleState = 1
07-06 12:15:39.233 >> instrument // AlarmBuzzleState = 0
07-06 12:15:39.285 >> instrument // AlarmBuzzleState = 1
07-06 12:15:39.337 >> instrument // AlarmBuzzleState = 0
